osm_id,highway,cyclable_status,name,bicycle,cycleway,access,oneway,surface,lit,maxspeed
600021527,living_street,likely,Rue des Boucherets,,,,yes,asphalt,,20
636339223,path,legal,Chemin de Halage,designated,,,,asphalt,no,
636564937,path,legal,,designated,,,,asphalt,,
661296349,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
662496006,tertiary,likely,Rue des Bienvenus,,,,yes,asphalt,,30
670257355,primary,likely,Cours Émile Zola,,,,,asphalt,yes,30
673841818,cycleway,legal,,,,,yes,asphalt,yes,
681563614,cycleway,legal,,designated,,,,concrete,,
682271456,tertiary,likely,Rue Château-Gaillard,,,,,asphalt,yes,30
725375435,cycleway,legal,,,,,,asphalt,yes,
732458560,residential,likely,Avenue Marcel Cerdan,,,,yes,asphalt,yes,30
732458561,residential,likely,Avenue Marcel Cerdan,,,,yes,,,30
732458562,path,legal,,designated,,,,asphalt,,
732458563,cycleway,legal,,,,,,asphalt,no,
732458564,cycleway,legal,,,,,,asphalt,yes,
763112518,cycleway,legal,,,,,,asphalt,yes,
763112519,cycleway,legal,,,,,,asphalt,yes,
764072723,tertiary,likely,Rue Anatole France,,,,yes,asphalt,yes,30
764072724,tertiary,likely,Avenue du Commandant l'Herminier,,,,yes,asphalt,yes,30
764072725,unclassified,likely,Avenue du Commandant l'Herminier,,no,,yes,asphalt,yes,30
764072726,unclassified,likely,Avenue du Commandant l'Herminier,,no,,yes,asphalt,yes,30
764072727,unclassified,likely,Avenue du Commandant l'Herminier,,,,yes,asphalt,yes,30
764072728,tertiary,likely,Rue Anatole France,,no,,no,asphalt,yes,30
764072730,tertiary,likely,Rue Anatole France,,,,yes,asphalt,yes,30
764072731,tertiary,likely,Rue Anatole France,,lane,,yes,asphalt,yes,30
788044033,tertiary,likely,Rue Château-Gaillard,,,,,asphalt,yes,30
791771814,secondary,likely,Avenue Pablo Picasso,,lane,,,asphalt,yes,50
804932821,tertiary,likely,Avenue Albert Einstein,,,,yes,asphalt,,50
804932822,tertiary,likely,Rue de la Feyssine,,,,yes,asphalt,,50
804932825,cycleway,legal,Porte de Croix-Luizet,,,,,asphalt,yes,
804938459,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,,50
804971693,path,legal,,yes,,,,compacted,yes,
804971720,path,legal,,designated,,,,concrete,yes,
804971724,path,legal,,yes,,,,compacted,no,
807962981,path,legal,,designated,,,,asphalt,yes,
807962982,path,legal,,designated,,,,asphalt,yes,
810354528,cycleway,legal,,,,,no,,yes,
814009488,primary,likely,Avenue Gabriel Péri,,track,,yes,asphalt,yes,30
814009489,primary,likely,Avenue Gabriel Péri,,,,yes,asphalt,yes,50
816881192,path,legal,,designated,,,,asphalt,yes,
845315345,path,legal,,designated,,,,asphalt,yes,
848037663,residential,legal,Rue de l'Émetteur,yes,no,,no,asphalt,,30
850249248,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,yes,50
850249249,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,,50
850249250,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,,50
850249251,tertiary,likely,Avenue Albert Einstein,,,,,asphalt,,50
851770276,cycleway,legal,,,,,,asphalt,no,
856520776,service,likely,,,,permit,yes,asphalt,,
862152545,primary,likely,Avenue Gabriel Péri,,,,yes,asphalt,yes,30
917471640,unclassified,likely,Rue Françoise Héritier,,,,yes,asphalt,yes,30
933277031,cycleway,legal,Avenue Gabriel Péri,,,,yes,,,
971077642,cycleway,legal,Avenue Jean Capelle,,,,,asphalt,,30
971077644,residential,likely,Avenue Jean Capelle,,,,yes,asphalt,yes,30
976995685,cycleway,legal,,,,,no,asphalt,yes,
977427786,unclassified,likely,Rue Léon Chomel,,,,yes,asphalt,yes,30
977427787,unclassified,likely,,,,,yes,asphalt,yes,30
992152580,tertiary,likely,Rue Château-Gaillard,,,,,asphalt,yes,30
992152581,residential,likely,Rue Raspail,,,,yes,asphalt,,30
992389962,tertiary,likely,Avenue Georges Rougé,,lane,,yes,asphalt,,
1001535905,cycleway,legal,,,,,,concrete,yes,
1014365670,unclassified,likely,Avenue Georges Rougé,,,,,asphalt,,
1017165478,path,legal,,designated,,,,asphalt,yes,
1017165479,cycleway,legal,,,,,,asphalt,,
1019061691,unclassified,likely,Chemin du Gabugy,,,,,asphalt,,
