annee,Péri-urbain loisirs,Domicile travail,Tourisme aménagé,Tourisme rural
2019,32,183,186,88
2020,32,183,186,88
2021,32,183,186,88
2022,32,183,186,88
2023,32,183,186,88
2024,32,183,186,88
2025,32,183,186,88
