annee,Péri-urbain loisirs,Domicile travail,Tourisme aménagé,Tourisme rural
2019,4006299.90234375,51609555.5390625,9249340.427734375,3449550.640625
2020,7497260.625,83034092.6875,10317444.265625,4327533.0
2021,15321666.328125,112994471.75,18912427.078125,8063481.921875
2022,19400461.5078125,142930072.484375,23583154.3359375,10033854.0
2023,20710632.1953125,167558708.796875,25010107.8203125,11088159.203125
2024,22401184.890625,172868656.359375,24540882.21484375,10896665.60546875
2025,19535122.9609375,165514032.359375,22779476.015625,10324490.640625
