annee,bkt_obs_Mdkm,bkt_ext_Mdkm
2019,2.3859463196827675,6.143230950290459
2020,3.3858515779239107,7.475248732374852
2021,4.944309913307187,9.717233848988652
2022,5.400607107257075,10.929123764787047
2023,5.9715762727015225,11.152994263881453
2024,6.302659122402119,11.314373478090404
2025,6.571152270716978,12.445044622978942
