annee,population,n_capteurs_actifs,n_capteurs_panel,lineaire_fob_km,somme_debits,bkt_obs_Mdkm,bkt_ext_Mdkm,bkt_mini_obs_Mdkm,bkt_mini_ext_Mdkm
2019,68229198.0,672,489,86667.02607126937,73608186.65039062,2.385946319682768,6.143230950290459,2.116611924380963,6.368498772724185
2020,68388307.0,795,489,96458.29790732535,112480647.453125,3.3858515779239107,7.475248732374852,2.1629120919483427,7.072335823816909
2021,68620565.0,1070,489,104305.04994394933,164744601.59375,4.944309913307186,9.717233848988649,2.569605977582302,8.721683302534933
2022,69009539.0,1227,489,111397.90128075848,207209778.578125,5.400607107257074,10.929123764787047,2.945787518021201,10.218607887426082
2023,69342437.0,1395,489,119164.2916441471,232745963.078125,5.9715762727015225,11.152994263881453,3.0353749195050823,10.780812453892791
2024,69342437.0,1402,489,126642.29288229713,230707389.0703125,6.302659122402119,11.314373478090404,3.227292070600828,11.73472753606105
2025,69342437.0,1291,489,134594.13247408476,225677989.4765625,6.57115227071698,12.445044622978942,3.4398453958474966,12.829656605577034
