annee,code_commune,nom_commune,code_departement,len_d_GV,len_g_GV,len_d_FOB,len_g_FOB,len_d_FOB_AM,len_g_FOB_AM
2019,01004,Ambérieu-en-Bugey,01,7.3767,7.3767,5.12426170604989,5.12426170604989,5.12426170604989,5.12426170604989
2019,01007,Ambronay,01,2.7403999999999997,2.7403999999999997,0.5624306019073408,0.5624306019073408,0.5624306019073408,0.5624306019073408
2019,01008,Ambutrix,01,0.0911,0.0911,0.09104439897100061,0.09104439897100061,0.0,0.0
2019,01010,Anglefort,01,0.6726,0.6726,0.6727595572636867,0.6727595572636867,0.0,0.0
2019,01011,Apremont,01,4.3148,4.3148,2.909959811851366,2.909959811851366,0.0,0.0
2019,01014,Arbent,01,2.1223,2.1223,1.2940812074056103,1.2940812074056103,1.2940812074056103,1.2940812074056103
2019,01015,Arboys en Bugey,01,0.0,0.0,0.000726975428529334,0.000726975428529334,0.0,0.0
2019,01016,Arbigny,01,0.0,0.0,0.09975163866704406,0.09975163866704406,0.09975163866704406,0.09975163866704406
2019,01019,Armix,01,0.5518,0.5518,0.0,0.0,0.0,0.0
2019,01021,Ars-sur-Formans,01,0.0651,0.0651,0.0,0.0,0.0,0.0
2019,01022,Artemare,01,0.3161,0.3161,0.3013124112607135,0.3013124112607135,0.3013124112607135,0.3013124112607135
2019,01024,Attignat,01,4.732,4.732,4.753308326317742,4.753308326317742,4.753308326317742,4.753308326317742
2019,01025,Bâgé-Dommartin,01,0.073,0.073,0.0788682882222506,0.0788682882222506,0.0788682882222506,0.0788682882222506
2019,01026,Bâgé-le-Châtel,01,0.0,0.0,0.005900336608018851,0.005900336608018851,0.005900336608018851,0.005900336608018851
2019,01027,Balan,01,0.2578,0.2578,0.8330275937374358,0.8330275937374358,0.06343071778412628,0.06343071778412628
2019,01030,Beauregard,01,0.4421,0.4421,0.3277087806934155,0.3277087806934155,0.3277087806934155,0.3277087806934155
2019,01031,Bellignat,01,2.2883,2.2883,2.4196502998925364,2.4196502998925364,2.4196502998925364,2.4196502998925364
2019,01033,Valserhône,01,0.9476,0.9476,0.5357518267554171,0.5357518267554171,0.4710136159856551,0.4710136159856551
2019,01034,Belley,01,5.9254999999999995,5.9254999999999995,4.404457026281685,4.404457026281685,4.404457026281685,4.404457026281685
2019,01036,Valromey-sur-Séran,01,0.2342,0.2342,6.574785121988244,6.574785121988244,0.0,0.0
2019,01043,Beynost,01,8.4457,8.4457,5.987544582591208,5.987544582591208,3.9813801435892158,3.9813801435892158
2019,01047,Blyes,01,2.9394,2.9394,0.0,0.0,0.0,0.0
2019,01049,La Boisse,01,3.7006,3.7006,2.750893071156017,2.750893071156017,2.750893071156017,2.750893071156017
2019,01053,Bourg-en-Bresse,01,57.0161,57.528,27.02177606615218,27.02177606615218,25.522618314506147,25.522618314506147
2019,01058,Brégnier-Cordon,01,6.9814,6.9814,4.895127159844296,4.895127159844296,4.889325864831476,4.889325864831476
2019,01061,Brens,01,0.0603,0.0603,1.7925087844874037,1.7925087844874037,0.030839963862854237,0.030839963862854237
2019,01063,Brion,01,1.2922,1.2922,1.2936937651887201,1.2936937651887201,1.2936937651887201,1.2936937651887201
2019,01065,Buellas,01,0.0134,0.0134,0.01343076959175514,0.01343076959175514,0.0,0.0
2019,01066,La Burbanche,01,0.2072,0.2072,0.0,0.0,0.0,0.0
2019,01067,Ceignes,01,0.776,0.776,0.0,0.0,0.0,0.0
2019,01069,Certines,01,0.0825,0.0825,0.014729548332911045,0.014729548332911045,0.014729548332911045,0.014729548332911045
2019,01071,Cessy,01,4.4452,4.4452,2.671692478002085,2.671692478002085,2.671692478002085,2.671692478002085
2019,01072,Ceyzériat,01,0.094,0.094,0.0,0.0,0.0,0.0
2019,01078,Challex,01,0.3585,0.3585,0.0,0.0,0.0,0.0
2019,01081,Champfromier,01,0.0,0.0,0.059580230165479725,0.059580230165479725,0.0,0.0
2019,01082,Chanay,01,0.3234,0.3234,0.0,0.0,0.0,0.0
2019,01087,Charix,01,0.0652,0.0652,0.0,0.0,0.0,0.0
2019,01089,Château-Gaillard,01,1.5226,1.5226,1.1702729273533827,1.1702729273533827,1.1702729273533827,1.1702729273533827
2019,01093,Châtillon-sur-Chalaronne,01,0.4185,0.4185,0.19749202951668868,0.19749202951668868,0.19749202951668868,0.19749202951668868
2019,01098,Chazey-Bons,01,0.38839999999999997,0.38839999999999997,0.3882075565110379,0.3882075565110379,0.3882075565110379,0.3882075565110379
2019,01103,Chevry,01,1.7756,1.7756,0.6932793447970423,0.6932793447970423,0.6932793447970423,0.6932793447970423
2019,01104,Chézery-Forens,01,0.0417,0.0417,0.0,0.0,0.0,0.0
2019,01105,Civrieux,01,0.3744,0.3744,0.3211330174527762,0.3211330174527762,0.3211330174527762,0.3211330174527762
2019,01109,Collonges,01,0.74,0.74,0.4214712084550799,0.4214712084550799,0.4214712084550799,0.4214712084550799
2019,01123,Cormoranche-sur-Saône,01,0.8180000000000001,0.8180000000000001,0.8102679113530098,0.8102679113530098,0.8102679113530098,0.8102679113530098
2019,01127,Courmangoux,01,0.48009999999999997,0.48009999999999997,0.0,0.0,0.0,0.0
2019,01130,Bresse Vallons,01,1.4474,1.4474,1.4259387310439502,1.4259387310439502,1.4259387310439502,1.4259387310439502
2019,01133,Cressin-Rochefort,01,1.8491000000000002,1.8491000000000002,3.191323063154176,3.191323063154176,3.191323063154176,3.191323063154176
2019,01134,Crottet,01,0.48569999999999997,0.48569999999999997,0.5069436426620099,0.5069436426620099,0.5069436426620099,0.5069436426620099
2019,01135,Crozet,01,6.6524,6.6524,4.231152180493157,4.231152180493157,4.22280150341071,4.22280150341071
2019,01138,Culoz-Béon,01,0.47540000000000004,0.47540000000000004,0.36446803283201823,0.36446803283201823,0.36446803283201823,0.36446803283201823
