code_commune,nom_commune,LIBDENS7,predicted_cluster,predicted_name,proba_cluster_0,proba_cluster_1,proba_cluster_2,proba_cluster_3,extrapolated
89160,Étigny,Rural à habitat dispersé,2,Tourisme rural,0.0225,0.0115,0.5911,0.3749,1
89161,Étivey,Rural à habitat dispersé,2,Tourisme rural,0.0213,0.0088,0.6868,0.2832,1
89162,Évry,Rural à habitat dispersé,3,Tourisme litoral,0.0298,0.0117,0.4596,0.499,1
89163,La Ferté-Loupière,Rural à habitat très dispersé,2,Tourisme rural,0.0227,0.0122,0.5357,0.4294,1
89164,Festigny,Rural à habitat très dispersé,2,Tourisme rural,0.0163,0.0149,0.7575,0.2113,1
89165,Flacy,Rural à habitat dispersé,2,Tourisme rural,0.0154,0.0109,0.5957,0.378,1
89167,Fleury-la-Vallée,Bourgs ruraux,2,Tourisme rural,0.0254,0.0248,0.489,0.4608,1
89168,Fleys,Rural à habitat dispersé,2,Tourisme rural,0.0153,0.0099,0.6773,0.2974,1
89169,Flogny-la-Chapelle,Bourgs ruraux,2,Tourisme rural,0.0236,0.019,0.6949,0.2625,1
89170,Foissy-lès-Vézelay,Rural à habitat dispersé,2,Tourisme rural,0.0172,0.0056,0.698,0.2791,1
89171,Foissy-sur-Vanne,Rural à habitat dispersé,2,Tourisme rural,0.0174,0.0114,0.6474,0.3238,1
89172,Fontaine-la-Gaillarde,Rural à habitat dispersé,2,Tourisme rural,0.0171,0.0144,0.77,0.1985,1
89173,Fontaines,Rural à habitat très dispersé,2,Tourisme rural,0.0229,0.0113,0.6599,0.3059,1
89175,Fontenay-près-Chablis,Rural à habitat dispersé,2,Tourisme rural,0.0143,0.0103,0.6614,0.3141,1
89176,Fontenay-près-Vézelay,Rural à habitat dispersé,2,Tourisme rural,0.0165,0.0062,0.7259,0.2514,1
89177,Fontenay-sous-Fouronnes,Rural à habitat très dispersé,2,Tourisme rural,0.0144,0.0102,0.7762,0.1992,1
89179,Fontenoy,Rural à habitat dispersé,2,Tourisme rural,0.0158,0.01,0.662,0.3122,1
89180,Fouchères,Rural à habitat dispersé,2,Tourisme rural,0.0257,0.0259,0.5191,0.4293,1
89181,Fournaudin,Rural à habitat très dispersé,2,Tourisme rural,0.0241,0.0199,0.5761,0.3799,1
89182,Fouronnes,Rural à habitat dispersé,2,Tourisme rural,0.0199,0.0085,0.6875,0.284,1
89183,Fresnes,Rural à habitat très dispersé,2,Tourisme rural,0.0177,0.0122,0.6666,0.3035,1
89184,Fulvy,Rural à habitat dispersé,2,Tourisme rural,0.0056,0.0081,0.9148,0.0714,1
89186,Germigny,Rural à habitat dispersé,2,Tourisme rural,0.0248,0.022,0.5555,0.3976,1
89187,Gigny,Rural à habitat dispersé,2,Tourisme rural,0.0131,0.0078,0.7813,0.1978,1
89188,Girolles,Rural à habitat dispersé,2,Tourisme rural,0.0105,0.0057,0.8151,0.1687,1
89189,Gisy-les-Nobles,Rural à habitat dispersé,2,Tourisme rural,0.0276,0.0102,0.51,0.4522,1
89190,Givry,Rural à habitat dispersé,2,Tourisme rural,0.0153,0.0069,0.7223,0.2555,1
89191,Gland,Rural à habitat très dispersé,2,Tourisme rural,0.022,0.0119,0.6799,0.2862,1
89194,Grimault,Rural à habitat très dispersé,2,Tourisme rural,0.0208,0.0111,0.6278,0.3403,1
89195,Gron,Bourgs ruraux,2,Tourisme rural,0.0466,0.017,0.5201,0.4163,1
89196,Valravillon,Rural à habitat dispersé,2,Tourisme rural,0.0241,0.0198,0.4791,0.477,1
89197,Guillon-Terre-Plaine,Rural à habitat dispersé,2,Tourisme rural,0.0116,0.0127,0.8027,0.1729,1
89198,Gurgy,Bourgs ruraux,2,Tourisme rural,0.0405,0.0189,0.5474,0.3931,1
89199,Gy-l'Évêque,Rural à habitat dispersé,2,Tourisme rural,0.0172,0.01,0.7876,0.1851,1
89200,Hauterive,Rural à habitat dispersé,2,Tourisme rural,0.0123,0.0112,0.4959,0.4807,1
89201,Héry,Bourgs ruraux,3,Tourisme litoral,0.022,0.0202,0.4664,0.4914,1
89202,Irancy,Rural à habitat dispersé,2,Tourisme rural,0.0095,0.0034,0.8496,0.1376,1
89203,Island,Rural à habitat dispersé,2,Tourisme rural,0.0156,0.0058,0.7189,0.2597,1
89204,L'Isle-sur-Serein,Bourgs ruraux,2,Tourisme rural,0.0339,0.0201,0.7295,0.2165,1
89205,Jaulges,Rural à habitat dispersé,2,Tourisme rural,0.0151,0.0165,0.5985,0.3699,1
89206,Joigny,Petites villes,2,Tourisme rural,0.142,0.0418,0.5395,0.2767,1
89207,Jouancy,Rural à habitat très dispersé,2,Tourisme rural,0.0186,0.0106,0.6323,0.3385,1
89208,Joux-la-Ville,Rural à habitat dispersé,2,Tourisme rural,0.0225,0.0098,0.717,0.2507,1
89209,Jouy,Rural à habitat dispersé,3,Tourisme litoral,0.0334,0.0209,0.4388,0.5069,1
89210,Jully,Rural à habitat très dispersé,2,Tourisme rural,0.0217,0.0122,0.6797,0.2864,1
89211,Junay,Rural à habitat dispersé,2,Tourisme rural,0.0052,0.0038,0.8739,0.117,1
89212,Jussy,Rural à habitat dispersé,2,Tourisme rural,0.0124,0.0053,0.8641,0.1183,1
89214,Lailly,Rural à habitat très dispersé,2,Tourisme rural,0.0208,0.0172,0.5879,0.374,1
89215,Lain,Rural à habitat dispersé,2,Tourisme rural,0.0204,0.0106,0.6339,0.3351,1
89216,Lainsecq,Rural à habitat très dispersé,2,Tourisme rural,0.0251,0.0112,0.6334,0.3303,1
89217,Lalande,Rural à habitat très dispersé,2,Tourisme rural,0.0186,0.0127,0.6231,0.3456,1
89218,Laroche-Saint-Cydroine,Bourgs ruraux,2,Tourisme rural,0.0435,0.0192,0.5555,0.3818,1
89219,Lasson,Rural à habitat dispersé,2,Tourisme rural,0.0187,0.0157,0.5451,0.4205,1
89220,Lavau,Rural à habitat dispersé,2,Tourisme rural,0.0156,0.0103,0.6716,0.3026,1
89221,Leugny,Rural à habitat dispersé,2,Tourisme rural,0.0168,0.0126,0.6387,0.332,1
89222,Levis,Rural à habitat très dispersé,2,Tourisme rural,0.0214,0.0107,0.6534,0.3145,1
89223,Lézinnes,Bourgs ruraux,2,Tourisme rural,0.0113,0.008,0.8965,0.0842,1
89224,Lichères-près-Aigremont,Rural à habitat dispersé,2,Tourisme rural,0.0175,0.0117,0.6201,0.3507,1
89225,Lichères-sur-Yonne,Rural à habitat très dispersé,2,Tourisme rural,0.0152,0.008,0.7801,0.1967,1
89226,Lignorelles,Rural à habitat dispersé,2,Tourisme rural,0.0133,0.0091,0.6506,0.327,1
89227,Ligny-le-Châtel,Bourgs ruraux,2,Tourisme rural,0.0187,0.0157,0.4983,0.4673,1
89228,Lindry,Rural à habitat dispersé,2,Tourisme rural,0.0295,0.0245,0.5796,0.3665,1
89229,Lixy,Rural à habitat dispersé,3,Tourisme litoral,0.0185,0.0181,0.4489,0.5145,1
89230,Looze,Rural à habitat dispersé,2,Tourisme rural,0.0244,0.0171,0.6327,0.3258,1
89232,Lucy-le-Bois,Rural à habitat dispersé,2,Tourisme rural,0.0151,0.0073,0.8691,0.1084,1
89233,Lucy-sur-Cure,Rural à habitat dispersé,2,Tourisme rural,0.0085,0.0076,0.7862,0.1976,1
